dataset,sample_pct,nr_samples,oracle,intersecting,linkage,batch_size,decay,alpha,name,mean_size,std_size,mean_length,std_length,mean_tr_fidelity,std_tr_fidelity,mean_ts_fidelity,std_ts_fidelity,mean_tr_coverage,std_tr_coverage,mean_ts_coverage,std_ts_coverage
adult,0.2,10,rf,polyhedra,min,128,0.0,0.5,adult.bb=rf.linkage=min.batch=128.incremental,65.7,20.688402548287765,19.54966578537367,2.0302001814369697,0.7665386977886978,0.1977098730244345,0.767802855826808,0.19961701442354848,0.7737523034398035,0.2263461865566321,0.7770766159987715,0.22500847920247224
adult,0.4,10,rf,polyhedra,min,128,0.0,0.5,adult.bb=rf.linkage=min.batch=128.incremental,106.0,45.81702740248433,19.364663087285034,3.236264367510865,0.7566991707616708,0.17958091533012496,0.7570704744357439,0.1813300098165201,0.7579737407862408,0.19394739505900965,0.7595424535544296,0.19378957962643656
adult,0.6,10,rf,polyhedra,min,128,0.0,0.5,adult.bb=rf.linkage=min.batch=128.incremental,70.9,58.23134894539195,22.546639443788656,5.096630313390404,0.8157747235872236,0.08690320909005374,0.8164593889144788,0.08808474548517317,0.8068604115479117,0.11693988077253005,0.8072777521879319,0.11591459543194885
adult,0.8,10,rf,polyhedra,min,128,0.0,0.5,adult.bb=rf.linkage=min.batch=128.incremental,111.0,70.78417902328175,21.216054389497096,3.086676434269512,0.8436463452088454,0.05159996809102791,0.8415016121602947,0.05335844292509088,0.8582578316953319,0.0977344897878706,0.8579149393520652,0.09881701911201195
