dataset,sample_pct,nr_samples,oracle,intersecting,linkage,batch_size,decay,alpha,name,mean_size,std_size,mean_length,std_length,mean_tr_fidelity,std_tr_fidelity,mean_ts_fidelity,std_ts_fidelity,mean_tr_coverage,std_tr_coverage,mean_ts_coverage,std_ts_coverage
compas,0.2,10,svc,polyhedra,min,128,0.0,0.5,compas.bb=svm.linkage=min.batch=128.incremental,36.1,10.520931517693667,9.577150493243902,0.5912225085038664,0.8397900574371162,0.0136279719530248,0.8436951501154735,0.013350567651196986,0.7525846702317291,0.12747875641286116,0.7575057736720554,0.12622788425735218
compas,0.4,10,svc,polyhedra,min,128,0.0,0.5,compas.bb=svm.linkage=min.batch=128.incremental,47.0,15.880806024884253,9.09150146185088,1.32579321657998,0.8337888690829868,0.0134414240107125,0.8393533487297923,0.011633489294573623,0.7958407605466429,0.09978483191334596,0.8030484988452656,0.1009827383968302
compas,0.6,10,svc,polyhedra,min,128,0.0,0.5,compas.bb=svm.linkage=min.batch=128.incremental,61.6,20.92940515160429,9.572786158913292,1.0690498273154303,0.8344424638542286,0.014491763550092728,0.8385681293302539,0.014074123563570087,0.7409387997623291,0.12663144824291112,0.7533025404157042,0.1263862293821338
compas,0.8,10,svc,polyhedra,min,128,0.0,0.5,compas.bb=svm.linkage=min.batch=128.incremental,74.1,28.384678965949217,9.335988962077675,1.1070759053563004,0.841968706674589,0.016295925111938624,0.8463279445727483,0.01521594720908196,0.794315706080412,0.09482822099655829,0.8009699769053118,0.09464572921386764
