dataset,sample_pct,nr_samples,oracle,intersecting,linkage,batch_size,decay,alpha,name,mean_size,std_size,mean_length,std_length,mean_tr_fidelity,std_tr_fidelity,mean_ts_fidelity,std_ts_fidelity,mean_tr_coverage,std_tr_coverage,mean_ts_coverage,std_ts_coverage
german,0.2,10,rf,polyhedra,min,128,0.0,0.5,german.bb=rf.linkage=min.batch=128.incremental,3.3,2.0024984394500787,2.2350000000000003,0.33470135942359125,0.38799999999999996,0.10111819267020596,0.38799999999999996,0.10111819267020596,0.17366666666666666,0.09703893834721994,0.17366666666666666,0.09703893834721994
german,0.4,10,rf,polyhedra,min,128,0.0,0.5,german.bb=rf.linkage=min.batch=128.incremental,3.8,3.1559467676119,2.457142857142857,0.35948438762109075,0.3933333333333334,0.11815244390193545,0.3933333333333334,0.11815244390193545,0.2066666666666667,0.15579188397060711,0.2066666666666667,0.15579188397060711
german,0.6,10,rf,polyhedra,min,128,0.0,0.5,german.bb=rf.linkage=min.batch=128.incremental,5.0,3.40587727318528,2.4757936507936504,0.4041562929683027,0.4753333333333334,0.14393825836872634,0.4753333333333334,0.14393825836872634,0.2903333333333333,0.162264872627716,0.2903333333333333,0.162264872627716
german,0.8,10,rf,polyhedra,min,128,0.0,0.5,german.bb=rf.linkage=min.batch=128.incremental,3.7,2.193171219946131,2.5708333333333337,0.3944273274846289,0.37766666666666665,0.10007830267678738,0.37766666666666665,0.10007830267678738,0.189,0.12952091208243813,0.189,0.12952091208243813
