dataset,sample_pct,nr_samples,oracle,intersecting,linkage,batch_size,decay,alpha,name,mean_size,std_size,mean_length,std_length,mean_tr_fidelity,std_tr_fidelity,mean_ts_fidelity,std_ts_fidelity,mean_tr_coverage,std_tr_coverage,mean_ts_coverage,std_ts_coverage
churn,0.2,10,dnn,polyhedra,min,128,0.0,0.5,churn.bb=dnn.linkage=min.batch=128.incremental,2.3,1.1,10.75,10.778128573901665,0.3309176672384219,0.3049578613464918,0.3315,0.30437025150300084,0.3313464837049743,0.3049752266827529,0.332,0.3042308334143665
churn,0.4,10,dnn,polyhedra,min,128,0.0,0.5,churn.bb=dnn.linkage=min.batch=128.incremental,1.9,1.2206555615733703,3.708333333333333,4.55235744788712,0.3468696397941681,0.25944653939432644,0.3431,0.25486759307530643,0.3469554030874786,0.2594730454095924,0.34340000000000004,0.2549181044963264
churn,0.6,10,dnn,polyhedra,min,128,0.0,0.5,churn.bb=dnn.linkage=min.batch=128.incremental,2.5,1.9104973174542799,2.48,1.2139192724394814,0.4201114922813036,0.2477161827819499,0.4139000000000001,0.2501345437959339,0.4204116638078902,0.2478683218747037,0.4141,0.2502644401428217
churn,0.8,10,dnn,polyhedra,min,128,0.0,0.5,churn.bb=dnn.linkage=min.batch=128.incremental,2.3,1.1,3.9666666666666672,3.8816162155015332,0.54352487135506,0.15023139834453414,0.5353,0.14741848595071105,0.5436963979416809,0.15009880487322447,0.5356,0.1473921300477064
